gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,che,dlc,ebit,lct,revt,costat,mkvalt,gsector
001004,20070531,2006,INDL,C,D,STD,AIR,USD,1067.6330,83.3170,74.2450,86.7080,256.5060,1061.1690,A,1226.1925,20
001004,20110531,2010,INDL,C,D,STD,AIR,USD,1703.7270,57.4330,114.0750,137.0160,416.0100,1775.7820,A,1049.8206,20
001004,20150531,2014,INDL,C,D,STD,AIR,USD,1515.0000,54.7000,69.0000,-8.6000,412.0000,1594.3000,A,1046.3954,20
001004,20170531,2016,INDL,C,D,STD,AIR,USD,1504.1000,10.3000,2.0000,77.2000,335.1000,1767.6000,A,1200.3288,20
001004,20180531,2017,INDL,C,D,STD,AIR,USD,1524.7000,41.6000,0.0000,86.0000,333.3000,1748.3000,A,1551.4580,20
001004,20190531,2018,INDL,C,D,STD,AIR,USD,1517.2000,41.1000,0.0000,110.7000,357.5000,2051.8000,A,1046.7709,20
001013,20031031,2003,INDL,C,D,STD,ADCT.1,USD,1296.9000,746.7000,8.3000,-39.3000,265.5000,773.2000,I,2072.9620,45
001013,20041031,2004,INDL,C,D,STD,ADCT.1,USD,1428.1000,501.6000,0.3000,36.5000,302.0000,784.3000,I,1790.3210,45
001013,20051031,2005,INDL,C,D,STD,ADCT.1,USD,1535.0000,445.4000,0.3000,91.8000,286.6000,1169.2000,I,2032.9250,45
001013,20061031,2006,INDL,C,D,STD,ADCT.1,USD,1611.4000,537.7000,0.0000,72.6000,260.1000,1281.9000,I,1677.1320,45
001013,20071031,2007,INDL,C,D,STD,ADCT.1,USD,1764.8000,581.8000,200.6000,100.7000,474.1000,1322.2000,I,2199.1200,45
001013,20100930,2010,INDL,C,D,STD,ADCT.1,USD,1474.5000,696.9000,0.3000,59.9000,288.7000,1156.6000,I,1231.5240,45
001034,20031231,2003,INDL,C,D,STD,ALO.2,USD,2329.2680,58.6230,34.9070,105.5470,358.2710,1297.2850,I,1045.8834,35
001034,20051231,2005,INDL,C,D,STD,ALO.2,USD,1623.3830,800.0100,416.6690,95.9950,665.2570,553.6170,I,1541.7638,35
001034,20061231,2006,INDL,C,D,STD,ALO.2,USD,927.2390,113.1630,0.0000,96.0410,155.5730,653.8280,I,1038.6859,35
001045,20021231,2002,INDL,C,D,STD,AAL,USD,30267.0000,2733.0000,868.0000,-2622.0000,7240.0000,17299.0000,A,1030.1874,20
001045,20031231,2003,INDL,C,D,STD,AAL,USD,29330.0000,3133.0000,804.0000,-795.0000,6559.0000,17440.0000,A,2066.5869,20
001045,20041231,2004,INDL,C,D,STD,AAL,USD,28773.0000,3407.0000,806.0000,-133.0000,7018.0000,18645.0000,A,1764.6582,20
001045,20051231,2005,INDL,C,D,STD,AAL,USD,29495.0000,4324.0000,1239.0000,102.0000,8320.0000,20712.0000,A,4062.1324,20
001045,20061231,2006,INDL,C,D,STD,AAL,USD,29145.0000,5183.0000,1349.0000,1060.0000,8505.0000,22563.0000,A,6717.8315,20
001045,20071231,2007,INDL,C,D,STD,AAL,USD,28571.0000,4963.0000,1049.0000,1029.0000,8483.0000,22896.0000,A,3499.0539,20
001045,20081231,2008,INDL,C,D,STD,AAL,USD,25175.0000,3566.0000,1956.0000,-573.0000,9374.0000,23766.0000,A,2976.3858,20
